Layer,Entity Type,Linear (m),Area (m²),Count,Material Tag,Material Key,Partition Ref,Start X,Start Y,End X,End Y,Radius
S-STRS,LINE,1.2,0.0,1,,,,155457.2494633738,462495.1876344601,155457.2494633738,461295.1876344601,
S-STRS-MBND,LINE,1.44,0.0,1,,,,156897.6802728462,463945.1876360505,155457.2494633738,463945.1876360505,
S-STRS,LINE,0.06,0.0,1,,,,156957.2494633739,463945.1876360505,156897.6802728462,463945.1876360505,
S-STRS,LINE,0.25,0.0,1,,,,157207.2494633738,463945.1876360505,156957.2494633739,463945.1876360505,
S-STRS,LINE,0.25,0.0,1,,,,157457.2494633738,463945.1876360505,157207.2494633738,463945.1876360505,
S-STRS-MBND,LINE,2.0,0.0,1,,,,157457.2494633738,462745.1876344601,155457.2494633738,462745.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,157207.2494633738,461295.1876344601,157457.2494633738,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156957.2494633739,461295.1876344601,157207.2494633738,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156707.2494633738,461295.1876344601,156957.2494633739,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156457.2494633739,461295.1876344601,156707.2494633738,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156207.2494633739,461295.1876344601,156457.2494633739,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,155957.2494633739,461295.1876344601,156207.2494633739,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,155707.2494633738,461295.1876344601,155957.2494633739,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,155457.2494633738,461295.1876344601,155707.2494633738,461295.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,157207.2494633738,462495.1876344601,157457.2494633738,462495.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156957.2494633739,462495.1876344601,157207.2494633738,462495.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156707.2494633738,462495.1876344601,156957.2494633739,462495.1876344601,
S-STRS,LINE,0.25,0.0,1,,,,156457.2494633739,462495.1876344601,156707.2494633738,462495.1876344601,
